time blob_mass ism_mass r_forward r_reverse total_mass E_blob E_ism blob_energy ism_energy total_energy ism_rest total_lum reverse_lum reverse_lum2 reverse_lum3 blob_mass2 critical_mass maxgamma blob_kinetic swept_up
65.63888888888889 117350392.44711651 4731144.531537864 68.91168186198206 67.36744249252588 5190067708.141533 0.0 0.0 138692598.91732538 3665499.1088734493 142358110.09949607 3954714.940614092 92549.26151643966 44570.47049752926 86280.63732702716 0.0 64470596.897632234 14502182.087852452 4.4455790519714355 99346894.98713051 122081536.45495103
69.5 119337531.85620564 7060233.987666741 72.38622044325847 70.45592123143824 5190067738.8684025 0.0 0.0 135532201.39101893 6825948.728265533 142358150.5983412 5699407.398605485 102969.98589501438 46409.42228939771 90840.02046731122 0.0 67468739.94308041 15016294.151039235 4.493035316467285 94182618.75008212 126397765.99398178
73.36111111111111 121150401.01938893 9443728.724994557 75.47469918217082 73.54439997035061 5190067766.485163 0.0 0.0 131351753.58491671 11006397.875016311 142358186.0817239 7292247.622160628 112809.27793362083 47105.82100345647 92969.33366433841 0.0 70538969.18169592 15926450.50814905 4.4290452003479 88733596.49678361 129986396.62227085
77.22222222222223 122726034.2478339 13021950.724947622 78.94923776344724 76.63287870926297 5190067794.2644825 0.0 0.0 126441150.10455003 15917060.454431986 142358211.57118046 9856436.552821966 122251.00604369031 46954.12227013629 93634.25645317676 0.0 73633489.97482385 17503765.897954404 4.206722736358643 83028937.69048505 135747985.43868786
81.08333333333333 124082754.59260088 17289810.39199 82.42377634472365 79.72135744817533 5190067814.96369 0.0 0.0 121014687.84034815 21343542.729220364 142358230.56957388 12903705.807756051 131302.11562297583 46320.360642526146 108858.03821191582 0.0 76734713.75418271 17299057.19026199 4.435774326324463 77279776.6067407 141372565.6130245
84.94444444444444 125649403.35210618 21135776.768634103 85.512255083636 82.80983618708768 5190067839.084003 0.0 0.0 115582075.16208002 26776190.631673098 142358266.53537643 15478425.60136862 139693.0720635079 44895.0949494598 108739.58720900792 0.0 80095232.28965811 15669769.66868758 5.111449241638184 71830884.23865832 146785180.04046452
88.80555555555556 127612150.77911007 24987998.587262392 88.60073382254836 85.89831492600005 5190067856.601091 0.0 0.0 110450298.97142889 31907950.938356414 142358278.3454985 18095326.62528401 147258.0201172686 42687.602432769614 91549.26495970499 0.0 83809854.79173674 13137837.077145662 6.379273414611816 66856983.992458865 152600147.8541891
92.66666666666667 130072940.16519123 29576224.17827987 92.07527240382477 88.98679366491241 5190067872.885124 0.0 0.0 105941418.62243606 36416880.34081003 142358299.22104007 21539265.48803088 153750.8703933704 39844.94265540366 90693.19258670931 0.0 87920773.65177485 11513064.602370817 7.636609077453613 62458370.94730651 159649164.33144432
96.52777777777777 132990108.48921448 33383196.787805334 95.16375114273714 92.07527240382477 5190067891.105658 0.0 0.0 101972252.56231646 40386056.5594516 142358317.9434687 24277708.966335513 159273.060353124 36497.72153164532 89851.03087992486 0.0 92391302.0993687 10465350.882382741 8.828304290771484 58601837.35263915 166373305.80145237
100.38888888888889 130963603.98675556 43516154.87351159 98.63828972401355 94.77769130037309 5190067908.672909 0.0 0.0 90489146.58184104 51869200.4205099 142358347.0023575 31685649.08283396 164006.08142829526 32950.01043193505 75958.97275266216 0.0 93536778.15766549 9746212.099784194 9.597244262695312 52675306.87075686 174479759.38099176
104.25 129647011.93004817 52531860.22428594 101.7267684629259 97.4801101969214 5190067919.266812 0.0 0.0 80890157.4203838 61468187.56974686 142358345.30454314 38265882.834420756 168160.49999820875 29506.141368729193 77132.72201145245 0.0 95082163.8622441 30289631.825166397 3.139099359512329 47465868.33474495 182178872.7475024
108.11111111111111 134312340.48429248 56046345.228135645 104.81524720183826 100.56858893583377 5190067929.824037 0.0 0.0 79713640.43793325 62644711.85593198 142358354.62986594 41166802.68001587 171795.524244585 26298.862697950844 67504.99636912678 0.0 100796336.18657485 23970556.34356899 4.205006122589111 45045729.773361206 190358686.5393058
111.97222222222223 134330733.55071846 64703006.260815114 107.90372594075062 103.27100783238208 5190067941.119705 0.0 0.0 72661275.46614593 69697074.24096626 142358358.56289056 47833943.57144625 174875.19339978133 23339.02089201617 60288.150785424645 0.0 103236956.35823509 21692309.70780246 4.75915002822876 40845552.32891506 199033739.37390012
115.83333333333333 135091245.84118223 73127700.02529244 110.99220467966299 105.9734267289304 5190067954.895967 0.0 0.0 66978716.519413754 75379637.06120525 142358371.92612264 54527568.54445554 177393.28755245358 20640.976775155144 54962.468894265985 0.0 106147295.99137132 20536742.50503059 5.1686530113220215 37207999.69606446 208218945.92205864
119.69444444444444 131797763.60367478 86131676.6303702 114.08068341857535 108.28978578311467 5190067966.5657215 0.0 0.0 57498359.656213604 84860000.43281135 142358383.54865468 64840391.43604985 179360.61599316806 18211.003009726384 51109.86140134398 0.0 105942377.48109907 19507112.204171143 5.430961608886719 32485609.56251297 217929439.33448607
123.55555555555556 134074700.70615205 94105481.57301478 117.1691621574877 110.99220467966299 5190067974.547372 0.0 0.0 54385259.611891344 87973111.90181792 142358390.00591275 71611034.77028894 180800.9701890647 16052.658849479396 41975.14390309339 0.0 109793651.10798988 19815326.497451134 5.540844917297363 29943845.74973452 228180182.4978976
127.41666666666667 132626592.79712656 106358970.44120313 120.25764089640008 113.30856373384725 5190067985.533005 0.0 0.0 48155613.329887986 94202778.3887647 142358400.05728653 81872492.13439867 181744.75642029557 14155.991293722564 40804.77252074508 0.0 110679535.4207575 19566608.526199535 5.656551837921143 26542563.813910574 238985562.0374823
