              R_RS           Rdiss0p5           Rdiss0p1               R_sw             R_slow           R_spread              gamma
  1.74395404475933 2.4625406254671427  8.547117987170257    70.810186905433  236.0636119359666   4.07167950869575 202.00100741387556
1.6647543871146036 2.3514744076868674  8.174140442079036  70.80611738785923 236.06091473992814 4.1069983296121695 216.54868736904876
 1.589164296375343 2.2453872654060247  7.816636243697702   70.8023269503886 236.05839882687533  4.139384807818516 232.14406007975626
 1.517017806743557 2.1440591142185057  7.474039227889541  70.79879485832959  236.0560543725783  4.169127596410939 248.86257813454696
1.4481567511890756  2.047279288314853  7.145797127013267  70.79550543166623 236.05386584369631  4.196479567239893 266.78512805581056
1.3824303663305249  1.954846154609113  6.831372118776732  70.79243980532073    236.05183884439  4.221663447318537  285.9984216400545
1.3196949770999529 1.8665667929783263  6.530240790930848  70.78958471989456 236.04994140479903  4.244876426829092  306.5954154816724
1.2598135540741113 1.7822565668623627  6.241894157081878    70.786923002677 236.04817680194768 4.2662937749593235 328.67576070991277
1.2026554818826212 1.7017388693268498  5.965837791677922  70.78443737103166 236.04653221998868  4.286071970158509  352.3462851149433
 1.148096206550633  1.624844750991776  5.701591822872438  70.78212950724951 236.04499280131958  4.304351180813705 377.72150999560097
1.0960169497976795 1.5514126167240665  5.448690917424775  70.77997480630623  236.0435713589546  4.321257379596774 404.92420422940853
1.0463044301999178 1.4812879286591714  5.206684218306534  70.77795969654014 236.04221676702147  4.336904118453714  434.0859782455315
0.9988506061200636 1.4143229071160663  4.975135242819828  70.77609256151064 236.04099227016457  4.351394018747563 465.34792077439084
0.9535524223192477 1.3503762518696238  4.753621782233065  70.77434691467919 236.03983617403233  4.364820070438393  498.8612814546214
0.9103115720156165 1.2893128662191273 4.5417357150049815  70.77271999668883 236.03875981687085  4.377266693678701  534.7882025999216
0.8690342768498178 1.2310036023938715   4.33908284284643   70.7712022335529 236.03775358071033  4.388810712130812  573.3025036661825
0.8296310646574234 1.1753249980862026  4.145282669457844  70.76978846642282   236.036830473509  4.399522155631891  614.5905222142634
0.7920166000294262 1.1221590773448675  3.959968167114239  70.76846459223432  236.0359263889669 4.4094649834551065  658.8520154371022
0.7561094239626152 1.0713930335891282 3.7827855151521623  70.76723427227738 236.03511338016233  4.418697671552767  706.3011266128784
0.7218318394711349  1.022919092416578 3.6133938301202395  70.76609353316638  236.0343842836729  4.427273794028976  757.1674211600648
0.6891096966227326 0.9766342454273984 3.4514648748752834  70.76502335676602 236.03367562362405  4.435242478157026  811.6969973069401
0.6578722644491155 0.9324400902977042 3.2966827755262824   70.7640263823385 236.03301583383706  4.442648854060533  870.1536767491503
0.6280520113065814  0.890242558609447  3.148743663116779  70.76309360227884 236.03238249553078  4.449534385650284  932.8202810558689
0.5995845170355341 0.8499518008882253 3.0073554020272963  70.76223076529882  236.0318223747921  4.455937252997512             1000.0
