time blob_mass ism_mass r_forward r_reverse total_mass E_blob E_ism blob_energy ism_energy total_energy ism_rest total_lum reverse_lum reverse_lum2 reverse_lum3 blob_mass2 critical_mass maxgamma blob_kinetic swept_up maxgamma_forward maxgamma_blob
637.0833333333334 691341.3375852598 19866986.532499935 340.40826600449685 149.88773379784053 31846147.74944127 0.0 0.0 18192.027977629437 856803.9555381606 875002.9054162554 19616784.12009978 618.4173751983893 2.0648641806833448 4.032702749257864 0.0 684570.4245230829 653113.1743183712 1.0481650829315186 6848.392455312679 20558327.833680302 1.0200786590576172 1.0481650829315186
640.9444444444445 691957.0120573313 20034432.03278994 341.37341561040694 149.6947038766585 31846147.691927336 0.0 0.0 18319.985450657252 856647.6652566346 875003.114434445 19784370.635469336 614.2015751693605 2.063220628166991 4.036587330333285 0.0 685107.7041474865 654588.3679919984 1.046623706817627 6928.4979613531195 20726389.103316616 1.0199024677276611 1.046623706817627
644.8055555555555 691514.4308249411 20244614.31355557 342.5315951374991 149.30864403429447 31846147.73657751 0.0 0.0 18364.834139669227 856638.3343565593 875003.1684962285 19994672.0804085 610.081913576372 2.0621450773997836 4.009116549333586 0.0 684591.7165697457 654006.2007618912 1.0467664003372192 7003.581367748212 20936128.698076997 1.019728660583496 1.0467664003372192
648.6666666666666 691060.6510743218 20417557.765509024 343.4967447434092 148.9225841919304 31846147.758282725 0.0 0.0 18407.33340126551 856595.6766770894 875003.0100783547 20167735.973161478 606.0900157058879 2.061772357136697 4.014554477952118 0.0 684067.1464019648 653750.9052115312 1.0463727712631226 7076.009408224535 21108618.38951386 1.0195482969284058 1.0463727712631226
652.5277777777778 691748.2024877372 20589936.16035448 344.4618943493193 148.7295542707484 31846147.61169606 0.0 0.0 18542.48562933083 856460.4643671998 875002.9803112166 20340232.993355695 601.9599975210768 2.0620993818255346 3.9917391297615947 0.0 684677.4905832915 655160.6888519648 1.0450527667999268 7154.942820803052 21281684.390850708 1.0193413496017456 1.0450527667999268
656.3888888888889 691351.3393780332 20764422.29578119 345.4270439552294 148.34349442838436 31846147.740062356 0.0 0.0 18590.55966965498 856411.8717742836 875003.0942169314 20514843.396947686 597.9990585129381 2.0630514923758625 3.969165949193442 0.0 684210.6502819699 655494.4478295742 1.0438084602355957 7226.562192177035 21455773.642483633 1.0191594362258911 1.0438084602355957
660.25 691946.8950821888 20939422.51069678 346.39219356113955 148.15046450720234 31846147.80144174 0.0 0.0 18713.122899000537 856289.7875359242 875003.0750490115 20689965.103255384 594.1871082278484 2.0645825512394738 3.977386996649941 0.0 684736.0760065687 656982.3834713195 1.0422441959381104 7298.283611709998 21631369.37854934 1.0190072059631348 1.0422441959381104
664.1111111111111 691612.6111604081 21115172.74183782 347.35734316704963 147.76440466483828 31846147.756233428 0.0 0.0 18767.390015931407 856231.0355833184 875003.1915135516 20865850.733565155 590.224293374143 2.066856210657575 3.9583356567691115 0.0 684332.5942923164 656852.4227081676 1.041836142539978 7369.123844114154 21806785.389348827 1.0188567638397217 1.041836142539978
667.9722222222222 691232.734109981 21293045.093640193 348.3224927729598 147.37834482247425 31846147.804833718 0.0 0.0 18815.051242223577 856184.1651158642 875003.1285791807 21043844.5878777 586.45803676112 2.0697686361845844 3.939557574248212 0.0 683887.6581453171 656481.6905994666 1.041746735572815 7435.74211689396 21984277.80849027 1.01869535446167 1.041746735572815
671.8333333333334 691869.0619241165 21470917.75038008 349.28764237886986 147.18531490129223 31846147.78725927 0.0 0.0 18940.940056391224 856059.1994945868 875003.0330677135 21221842.96755288 582.7298792359971 2.073285061310633 3.9515450979422075 0.0 684456.6529126553 657227.711146414 1.0414299964904785 7504.626174827879 22162786.82663338 1.0185052156448364 1.0414299964904785
